Feature1,Feature2
-0.0569196533,0.0820454421
-0.0016072096,-0.0826312801
-0.0662800748,0.0103657359
-0.0779859002,0.0668727438
-0.0639312356,0.0112629942
-0.0330638634,0.0893608762
0.0776071787,0.0392183957
-0.0155833806,0.1016119302
-0.0243616473,-0.0228442987
-0.0574921043,0.1057161215
-0.0522785358,0.0227328887
0.159585299,0.0204973236
-0.0315932826,0.0790124594
-0.0576140308,-0.0187116041
-0.0722490109,-0.0032328905
-0.0413243496,0.0196016372
0.0074894731,-0.0561488688
0.1342613124,0.0312950054
0.1360463715,0.0212556943
-0.0556269975,0.0654111821
-0.0427249549,-0.0080449158
0.0873300599,-0.0266406787
0.0032743719,-0.0380581199
-0.080238402,-0.0240869969
0.1648131731,0.0228165588
0.0129175323,-0.0151582654
-0.0124662901,-0.0983874557
-0.0509857655,0.0082621432
-0.0286235602,-0.0326010835
-0.0465863721,-0.0078291962
-0.0475118818,-0.0118075747
-0.057470765,0.0014092661
0.1201617819,0.0091034241
-0.0298590793,0.0121111478
-0.049845571,0.0852363048
-0.058915869,-0.0020810304
0.0975084422,0.0370694862
0.0069769904,-0.0051823604
-0.0520151367,0.0001854915
-0.0544082796,-0.0097100415
0.1536831214,0.0358969179
-0.0556936224,0.1134970402
-0.0410105221,0.077660101
0.1542102969,0.0296010683
0.1634002183,0.0328300605
-0.0471393045,-0.0029723143
-0.0398345005,0.1121176099
-0.034479826,-0.1280745424
-0.0505932979,-0.0169844711
-0.0093769838,-0.0519523713
-0.0510035171,0.0061184023
-0.003645072,-0.0557476156
-0.0402598121,-0.0384421956
-0.0446381663,0.1069794161
-0.0315967264,-0.1206807682
-0.0497817662,-0.0448112406
-0.0582611446,-0.0004392759
0.0036291184,-0.0887259245
0.1359825662,0.0320282107
-0.041583498,0.0383818581
-0.0031302419,-0.0586895358
0.031381399,0.0014715185
-0.0232629522,0.026303208
0.0064315935,-0.0359905465
-0.069294973,0.0726728804
-0.0091980512,-0.1197114601
-0.0259457317,0.0280817199
-0.0612023945,0.1059641522
0.1508748001,0.0176908439
-0.0229253447,-0.0225238786
0.1580255563,0.0166998795
-0.0376375132,0.0181355326
-0.0439032097,0.0088815708
0.006608616,-0.0246454745
-0.0231770477,-0.0287686403
-0.0114530935,-0.0745349408
-0.0390557207,0.022128214
0.1011671048,-0.0121650342
-0.0559530727,0.0902320525
-0.0194814419,-0.0999303691
-0.0511374826,-0.0104144792
-0.0488943607,0.0860318
-0.0597314623,0.0153414709
-0.0472225697,0.004737627
-0.0397830153,0.0975507312
-0.0476261466,0.0944149973
-0.0522492629,-0.0277886663
-0.0673632985,0.0083667958
0.1621304761,0.0339706143
-0.0265391473,-0.0422322518
-0.0583583846,0.0912046381
-0.0593613818,0.0897635247
-0.0196177634,0.0103995452
-0.0390422294,0.0136143193
-0.0524045947,0.0145753292
-0.0647382905,0.1089617658
-0.0108371213,-0.1180127976
-0.0553483102,0.0033285871
-0.0380218294,0.0961707818
-0.0315862278,-0.0015748828
-0.0474225806,0.0051071302
0.154369853,0.0353741669
-0.0452543625,0.0107753669
0.15822897,0.020670476
-0.0082204358,-0.0549572206
0.1570925283,0.0288322323
0.008744607,-0.0683523239
-0.0141167563,-0.0949081996
-0.013787344,-0.0530926552
-0.0015005449,-0.0473370772
-0.0636505004,0.0796769307
-0.0398993957,0.024178046
-0.0151581394,-0.0432003792
-0.0492024226,0.0778163019
-0.0514638737,0.0029092591
0.1676478608,0.0332647688
0.1582778394,0.0091672169
0.1504952369,0.0369118089
-0.0287474329,-0.0022974933
-0.0511512051,-0.0050859107
0.0149442925,-0.063879746
0.152633506,0.0020118355
-0.0132039613,-0.0528948898
-0.0661088743,0.0061555601
-0.0480493,0.0911679721
-0.0317244165,0.0917134273
-0.0563478707,0.0893200852
-0.0425585777,0.0281450016
0.1586240906,0.0405696624
-0.0387446896,-0.0467392771
-0.0136408261,-0.1164869133
-0.0428879751,-0.0244336808
-0.0125334353,-0.1450388569
-0.0372344305,-0.0239569101
-0.0613509527,-0.0143426675
0.1589062171,0.0140137992
0.0290746237,-0.016154024
-0.0494409581,-0.000228737
0.1084556338,0.0192227017
-0.0123069428,-0.1257172672
-0.0456798171,0.0115965529
-0.0639983657,0.1071859607
-0.0399570367,0.0329249409
0.1093665085,-0.0207016761
0.0067245541,-0.0263786092
-0.0243830404,-0.1299011814
-0.0159403307,0.0885210302
-0.0401464616,0.0107266423
0.0077832287,-0.0418958418
-0.0001061185,-0.0546441284
0.0116220022,-0.0516495783
-0.0047949994,-0.066423426
-0.0709799816,-0.0127718874
-0.0497556936,0.0003307664
0.02613616,-0.0348552536
-0.0449494952,0.0148736054
-0.0391686266,0.0059449029
-0.0424227951,0.0691316626
-0.0435941051,0.0851143642
0.0139941697,-0.0292924914
-0.0477806188,0.0947859451
-0.00904547,-0.0185471541
0.1471245912,0.0377311785
-0.0409853542,0.022920095
-0.0402733176,0.1050728298
-0.0045661334,-0.0469152014
-0.0246673331,-0.1290966681
0.151976972,0.0295299945
0.0085876302,-0.0576295973
-0.0377395113,0.041169634
0.1368738633,0.0311964926
0.0014760323,-0.0336145048
-0.0557334226,-0.0132164367
-0.0115276264,-0.0642322993
-0.0401372394,0.0251536893
-0.0472410492,0.0134436323
-0.0507651757,0.0234261653
-0.0381142819,0.0717104231
-0.0495887818,0.0187475653
0.1423454779,0.03961026
-0.0264133657,-0.1290823877
0.1097824335,0.0260805623
-0.0370302069,0.0093672563
-0.0310105494,0.0969446318
-0.0768464543,0.0891813986
-0.0233839842,0.0766421011
-0.0071244583,-0.0592808914
0.01259906,-0.0538671035
-0.0369761273,-0.0040938917
0.0054613748,-0.0746421469
0.0089588142,-0.019988709
0.1421193707,0.0138744833
-0.0124623124,-0.0704815853
-0.0569642724,0.077386175
0.0033873354,-0.0302888006
-0.0185393345,0.041815327
-0.0463479096,-0.0220319402
-0.0524411883,-0.0011444047
0.0019066214,-0.0697229001
0.0023452736,-0.0481984846
-0.0078132387,0.0213615151
0.1604112095,0.0247025113
0.1566846087,0.0310386761
0.1233333672,-0.0044730831
0.1574681662,0.0151711007
-0.0581373117,0.0948187507
-0.048949257,-0.0394968202
-0.0729442305,0.0720898794
-0.0322194119,-0.0014448122
0.0157953266,-0.0524962872
0.0105948415,-0.0369949907
-0.0348146342,-0.0151688238
-0.0437188535,0.085688992
-0.058097962,-0.0063083909
-0.0412318409,0.1042180816
-0.0279928589,0.0233975779
-0.0539227118,-0.0099658805
-0.0279372577,0.0067049772
0.0134045739,-0.0382029322
-0.0373955225,0.0058992241
